distance,stellar_magnitude,orbital_radius,eccentricity,mass_earth,radius_earth,Habitable
30.0,4.89,0.46,0.34,16.0,4.04793,0
35.0,11.685,0.0304,0.1,2.22,1.385,0
922.0,12.61,0.0639,0.0,3.08,0.865,0
52.0,9.58,0.180707,0.15,6.69167,2.42437,0
2086.0,14.152,0.04501,0.0,136.6669,10.5312,0
1468.0,13.785,0.0435,0.0,1.41,1.11,0
1480.0,16.43,0.0882,0.0,7.22,2.5340700000000003,0
2361.0,14.951,0.0546,0.0,7.46,2.58892,0
614.0,15.046,0.0177,0.0,3.19,1.6,0
3682.0,14.799,0.2006,0.0,4.78,2.03,0
2557.0,14.885,0.509,0.01,7.6,9.48905,0
876.0,12.337,0.22512646203649203,0.0,26.3,5.43015,0
1772.0,13.319,0.0384,0.0,4.58,1.98,0
606.0,11.64,0.1974,0.84,47.674499999999995,4.914560000000001,0
423.0,8.020001,0.975,0.11,190.06233999999998,13.8222,0
3051.0,14.907,0.055,0.0,2.3,1.32,0
1190.0,11.937,0.0232,0.11,425.8922,11.957300000000002,0
2102.0,13.842,0.0336,0.0,0.477,0.82,0
2042.0,15.197,0.052,0.0,6.08,2.29273,0
3900.0,15.098,0.5375,0.0,19.4,4.54158,0
2112.0,12.744,0.0549,0.09,1538.2972,12.52774,0
161.0,7.72,11.786592,0.15,2773.3464403999997,12.286400000000002,0
518.0,9.475,0.0717,0.0,772.3269,11.189400000000001,0
2664.0,14.02,0.3096,0.0,10.2,3.11548,0
139.0,10.0,0.00812,0.0,2.57,1.258,0
3831.0,16.227,0.0464,0.0,3.02,1.55,0
2258.0,14.326,0.336,0.0,41.95356,6.39551,0
3333.0,14.129,0.181,0.0,2.79,1.48,0
1789.0,13.69,0.276,0.0,6.17,2.31467,0
2173.296296296296,10.337002339522547,200.0,0.0,2479.0739999999996,20.404200000000003,0
3016.0,15.541,0.053,0.0,2.33,1.33,0
3299.0,13.089,0.37,0.83,794.5749999999999,10.5312,0
589.0,16.024,0.0591,0.0,5.99,2.27079,0
625.0,13.662,0.0274,0.0,8.75,2.8412300000000004,0
3639.0,13.23,0.5337,0.0,20.3,4.66225,0
111.0,7.971,4.496414,0.56,3518.9819769999995,12.176700000000002,0
857.0,12.97,0.0269,0.0,346.4347,11.299100000000001,0
2930.0,14.529,0.0523,0.0,211.99261,14.261000000000001,0
1255.0,14.53,0.214,0.0,2.83,1.49,0
886.0,16.282,0.0619,0.0,21.5,2.1,0
4486.0,15.281,0.0552,0.0,3.82,1.78,0
5694.0,15.931,0.215,0.0,24.4,5.19978,0
1987.0,14.854,0.04,0.0,2.15,1.27,0
674.0,13.581,0.11000234672021421,0.0,2.42,1.361,0
3521.0,14.304,0.208,0.0,7.13,2.5121300000000004,0
3150.0,13.366,0.122,0.0,3.57,1.71,0
2481.0,15.211,0.1263,0.0,6.62,2.4024300000000003,0
2805.0,13.857748958938723,1.18,0.0,4.43,1.94,0
72.0,6.55,0.12,0.0,15.8915,4.0369600000000005,0
2120.0,14.957,0.116,0.0,9.59,2.99481,0
1769.0,11.645,0.0663,0.0,317.83,12.615499999999999,0
2535.0,12.861,0.1655,0.0,2.45,1.37,0
2406.0,15.028,0.0854,0.0,9.32,2.9509300000000005,0
2266.0,15.775,0.205,0.0,7.75,2.64377,0
218.0,13.04,0.1803,0.11,0.43,0.797,0
59.0,7.83,0.111312,0.51,17.30766,4.24539,0
1189.0,10.798,0.04574,0.0,400.4658,14.590100000000001,0
3008.0,15.468,0.0344,0.0,3.11,1.577,0
482.0,15.8,0.0911,0.0,3.39,1.66,0
1309.0,10.372,5.14,0.85,5768.6145,11.847600000000002,0
2765.0,15.885,0.3553,0.12,67.06213,4.256360000000001,0
120.0,8.44,1.67,0.2,508.528,13.2737,0
301.0,8.05,0.07,0.31,886.7456999999999,12.85684,0
4547.0,14.603,0.2788,0.0,4.9,2.06,0
165.0,8.520001,0.549,0.16,416.3573,13.3834,0
2764.0,15.02,0.5302,0.0,10.9,3.23615,0
1708.0,11.388,0.06431,0.0,133.4886,16.0162,0
3644.0,15.963,0.1189,0.0,4.5,1.96,0
323.0,14.528,0.0962,0.0,7.61,2.61086,0
1230.0,13.896,0.0157,0.0,0.64,0.89,0
1582.0,16.695,0.0545,0.0,2.83,1.49,0
1555.0,12.27,0.06,0.0,6.5,2.38049,0
31.0,15.18,1.292,0.02,63.566,9.127040000000001,0
183.0,9.12,11.342789,0.11,4230.4921065,12.067000000000002,0
2486.0,15.362,0.1406,0.0,10.7,3.19227,0
3603.0,13.155,0.089,0.0,4.08,1.85,0
2141.0,14.035,0.4865,0.0,7.56,2.59989,0
32.0,10.67,0.0291,0.14,22.1,4.08084,0
3081.0,16.326,0.0445,0.0,3.86,1.79,0
279.0,7.84,1.032,0.1,317.83,13.4931,0
112.0,9.62,1.34,0.54,1620.9329999999998,12.615499999999999,0
2101.0,15.017,0.096,0.0,9.1,1.55,0
4682.0,15.171,0.2184,0.0,5.84,3.4226400000000003,0
1465.0,14.721,0.1586,0.0,1.2,1.06,0
4385.0,15.388,0.1077,0.0,5.86,2.23788,0
3095.0,13.9,0.18,0.0,3.78,1.77,0
545.0,16.363,0.0521,0.33,4.66,2.0,0
2027.0,14.427,0.2918,0.0,38.7,6.8123700000000005,0
3400.0,15.881,0.0615,0.0,6.26,2.32564,0
937.0,11.23,0.1041,0.04,2.11,0.868,0
4939.0,14.18,0.2482,0.0,10.2,3.11548,0
3468.0,15.881,0.0559,0.0,7.27,2.54504,0
992.0,14.628,0.288,0.02,5.22,2.14,0
4185.0,14.983,0.3679,0.0,3.78,1.77,0
3529.0,14.467,0.1464,0.0,2.99,1.54,0
355.0,7.01,92.0,0.0,2860.47,16.455000000000002,0
3296.0,15.774,0.0476,0.065,3302.2537,11.04679,0
1449.0,12.923,0.1602,0.0,8.1,0.95,0
558.0,13.049,0.226,0.0,2.33,1.33,0
3393.0,14.976,0.4267,0.0,6.26,2.32564,0
21.0,10.57,0.04061,0.0,15.8,4.01502,0
